,name,description
436,BCoin.sg,The vision of BCoin.sg is to provide an all-encompassing cryptocurrency service platform for the new tokenized economy. 
437,Cryptomate,"Cryptomate.co.uk is a company, which provides a gateway into the world of cryptocurrencies for UK enthusiasts. The company is basically a peer-to-peer network, connecting buyers and sellers of cryptocurrencies. Cryptomate has set a daily limit of £100 for unverified clients. After submitting your details, this level will be increased to £1,000. These levels are set as an anti money laundering (AML) measure."
438,OceanEx,
439,ProBit Exchange,"ProBit Exchange is a global coin-to-coin exchange that accepts no listing fees. ProBit Exchange only lists deserving cryptocurrency projects. ProBit Exchange has order matching speed of more than 1.5m orders per second and has a customizable user interface. In addition, ProBit Exchange supports the option of a hardware security key in addition to software 2 Factor Authenticator."
440,Honeyswap,Honeyswap is a Decentralized Exchange built on xDai.
441,Saturn Network,"Saturn Network is the first multi-blockchain decentralized exchange. It requires no deposits and runs completely on the Ethereum blockchain, making it always accessible to everyone. Furthermore, it has been built with shared ownership in mind to ensure there are no imbalances of power: holding SATURN tokens means you are part of the Saturn DAO."
442,Bitsdaq,0
443,Jinance,"Built from the ground up, the Jinance platform launched in September 2018 and is now a major partner of Fintech Australia, the Fintech industry peak body.

In May 2018, Jinance became an AUSTRAC-regulated digital exchange, fulfilling the Anti-Money Laundering and Counter-Terrorism Financing Act 2006 (AML/CTF Act) obligation."
444,Limitlex,
445,CODEX,"CODEX was established in May 2018, same month 2 licenses were obtained: for fiat/crypto exchange and crypto currencies storage. CODEX is registered in Estonia. CODEX is an EOS-oriented exchange, working closely with AtticLab and AtticPool, one of the top EOS Block Producers."
446,Velodrome Finance,
447,C-Patex,"C-PatEx is a digital asset platform, based in Argentina. It offers low-cost trading in quite a lot cryptocurrencies. In order to use C-PatEx, crypto-traders need to verify their e-mail address. To withdraw, they must verified their identity either by Two Factor Authentication (2FA) or a code sent via SMS. C-PatEx is a a relatively small exchange, launched and operated by a family team from Patagonia, Argentina. Behind the brand is the company MAG Sistemas, founded and managed by Miguel Angel Grau. "
448,CreekEx,CreekEx is a new crypto exchange managed by Creek Capital Exchange LLC
449,KyberSwap (Arbitrum),
450,Indoex,"IndoEx Exchange claims to be the safest, fastest digital asset exchange"
451,MoonXBT,"MoonXBT is the world's first social cryptocurrency trading platform. With headquarters in the Cayman Islands and offices in Singapore, Hong Kong, Malaysia, South Korea, Japan, and Vietnam. At present, we provide contract trading, social interaction, and one-click copy trading services for global traders and are committed to building a closer blockchain ecosystem."
452,YOOBTC,"Launched on 1/9/2019.
YOOBTC is a centralized exchange based in Australia.
We use distributed server clusters, high-speed memory transaction engines, cold wallets, and hot wallet technologies to ensure the security, efficiency, and stability of transaction services"
453,SwapBased,
454,Einax,Einax is a comprehensive token exchange platform with unique features for token developers like off-chain Airdrops and redeemable Vouchers.
455,Eterbase,"Eterbase is a cryptocurrency exchange platform with a focus on crypto to SEPA integration (via individual IBAN accounts), multi-asset support, and regulatory compliance. Eterbase aims to become a fully compliant platform that offers a broad range of B2C and B2B cryptocurrency-specialized solutions, such as a high-frequency trading platform, over-the-counter trading, treasury management and high-frequency server hosting with a direct-market access and incentive system for market makers in the form of negative trading fees."
456,Serum DEX,
457,Blue Horizon,"NFT platform for ARTISTS and COLLECTORS

Welcome to Blue Horizon, a hybrid platform that embodies the best elements of NFTs, DeFi and blockchain. Blue Horizon combines an NFT marketplace, a token exchange, liquidity pooling, yield farming protocols, and much more. We actively seek out the artists and work with them to produce exclusive pieces for the Blue Horizon platform, imbuing our platform with artwork of a quality and exclusivity that you won’t find anywhere else."
458,Ovis,Ovis is a Turkish cryptocurrency exchange. Exchange launched in October 2017. This exchange offers a flat trading fee of 0.20%.
459,NDAX,"National Digital Asset Exchange Inc. (NDAX) is a Canadian-based digital asset exchange that offers a world-class experience for individuals and institutions to buy and sell Bitcoin and other cryptocurrencies in the fastest, safest and most compliant manner. NDAX is fully integrated into the Canadian banking system, allowing for quick and efficient transfers from all Canadian banks, credit unions and financial institutions. Clients’ Canadian dollar (CAD) and US dollar (USD) transfers are safely deposited and stored with a crown-owned Canadian bank."
460,ZEON,Exchange cryptocurrency with ease.
461,SushiSwap (Polygon Network),
462,Cexland,"Cexland is Estonia based Centralized Crypto Exchange, buy and sell crypto easily with one click! offers Bitcoin, Ethereum, and other trading."
463,Play Royal,
464,Tokens.net,Tokens.net describes itself as a trusted European Cryptocurrency Exchange. The platform represents distinctive trading engine and user-friendly interface built by crypto pioneers. Its unique design ensures 100% trading volume transparency.
465,Coinsuper,"Coinsuper is a relatively new cryptocurrency exchange founded in 2017, based in Hong Kong. Coinsuper accepts bank transfers, allowing one to buy cryptocurrencies for the first time. Due the restrictions on who can use Coinsuper, the exchange mostly targets traders in Europe, Australasia, Asia, and South America."
466,IDEX,"IDEX is a decentralized exchange on the DAO blockchain network. It offers fast exchange services and supports real-time trading in over 200 cryptocurrencies, in addition to Ethereum. The platform does not offer trading in Bitcoin. IDEX has a very detailed guide on how to use the platform, how to deposit and withdraw, how to unlock the wallet, etc."
467,NLexch,NLexch is a Dutch cryptocurrency exchange platform that aims to make cryptocurrencies more accessible to everyone.
468,Tomb Swap,
469,Kompler,A Brand New Crypto Assets Trading Platform. A trading platform for crypto assets that focus on emerging cryptocurrencies and already consolidated projects.
470,CBX,
471,Camelot,
472,Uniswap V2,
473,Cryptohub,0
474,Bitfinex,"Bitfinex was founded in December 2012 as a peer-to-peer Bitcoin exchange, offering digital asset trading services to users around the world. Bitfinex initially started as a P2P margin lending platform for Bitcoin and later added support for more cryptocurrencies. <br> <br>

Exchange assets (transparency): <br>
$7 235 952 704 - according to nansen.ai, <br>
$4 698 745 521 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
475,Unnamed,
476,BTC-Alpha,BTC-Alpha is a cryptocurrency exchange headquartered in the United Kingdom launched in 2016. BTC-Alpha offers trading in decent number of digital coins and also supports USD fiat currency. Its trading platform is web-based with charts by TradingView.
477,Azbit,"Azbit is a cryptocurrency exchange offering the most in-demand services on the market. Advised by industry leader Roger Ver, Azbit strives to allow any project to be listed for free."
478,Velodrome Finance V2,
479,Flaexchange,
480,Iquant,"Quant is a Chinese cryptocurrency project. They plan to create a new blockchain environment, in which people can develop new applications and smart contracts, as well as, integrate traditional financial markets. "
481,ROKKEX,"ROKKEX is a next-generation crypto exchange with a foundation of security and performance. ROKKEX enables both the beginner and advanced trader to exchange crypto assets instantly with maximum safety. The platform has been developed with the best practices of UX, which provides practical, experiential, effective, and meaningful ways to trade."
482,Bitesax,"Bitesax Exchange Powerful Centralized Crypto Trading Platform
Our brand new high-speed platform supports a processing capacity of up to 25,000 transactions per second."
483,Vebitcoin,"Vebitcoin is a trading exchange founded in 2017 based in Turkey. It has more than 25 types of cryptocurrencies and planned to give users the opportunity to chart their financial paths in Turkey and the World. Three language options are available, Russian, Turkish and English. All information on the market can be accessed without registration. Our exchange provides 7/24 support. It is open to TRY/BTC withdrawals and deposits. All products on our stock exchange, which is a Bitgo partner, are covered by insurance."
484,Bitenium Futures,The Bitenium Exchange is a new-gen cryptocurrency trading platform. Automate your trading and take your emotion out of the equation. Use expert tools without coding skills. Invest in all cryptocurrencies that your exchange offers. High liquidity and secure wallet.
485,Forus Platform,A centralized launched on 25/05/2022. It is a community-based platform with suggestions and a voting system. Our vision is to put strict token listing policies and minimal design for easier navigation so everyone can invest without distractions or complications. The platform supports spot and swap tradings. It also provides wallets for different blockchain networks.
486,Binance Jersey,"As of 16th January 2019, Binance has announced the launch of a new Fiat to Crypto exchange named “Binance Jersey“. The trading platform is live and active and allows you to trade in fiat currencies such as euros and pound sterling, with Europe being their target market."
487,Zolex,To provide a permanent solution to the Blockchain world is our goal. One of the greatest asset platforms.
488,Nash,"Nash exchange is non-custodial cross-chain digital asset exchange. Our system allows for cross-chain non-custodial trading between the Bitcoin, Ethereum, and NEO blockchain. We support crypto-to-crypto trading, and are currently awaiting approval for our fiat on-ramp. Nash is fully regulated by the FMA in Liechtenstein."
489,Kyberswap (Optimism),
490,Yibi,
491,Saddle Finance,
492,zondacrypto,"Zonda (ex-BitBay) is one of the largest digital currency exchanges in Europe with over 1 million users. The company was established in 2014 and it is regulated by the Estonian Financial Intelligence Unit (FIU). The Zonda exchange has a policy against money laundering and terrorism financing and ensures the safety and security of the deposits and trading via the platform by applying strict AML and KYC procedures.

Users can make transactions in over 50 coins and tokens in pairs with traditional currencies (EUR, GBP and PLN), stablecoins (USDT and USDC), and BTC and ETH. Zonda is continually developing and expanding its business, which has resulted in the creation of such products as Zonda FIAT Exchange and Zonda Pay. 

Zonda is on a mission to democratize the access to cryptocurrency. The company’s ambition is to develop simple intuitive tools, the education programmes, and the regulatory framework, that will help its customers to trade and spend confidently from a position of strength."
493,PirateCash DEX,Built on BitShares.
494,EtherDelta,"Etherdelta is the most popular decentralized exchange in the cryptocurrency market, and all of the coins are compliant with Ethereum token standard called ‘ERC20’. "
495,Verse,Verse DEX charges 0.3% per token swap. 0.05% goes to the protocol and 0.25% goes to liquidity providers.
496,Beaxy,"Beaxy is a next generation cryptocurrency exchange powered by the same technology driving Wall Street. With a revolutionary matching engine and more order types than any other spot exchange, Beaxy sets itself apart technologically. It further distinguished itself with a transparent and fair listing process, prompt customer support, and a dedication to building bridges between projects and players in the cryptocurrency community."
497,Furxe,"We are Global most user-friendly, comprehensive, and secure trading platform to trade in the spot, futures, and options market with multiple funding options, high liquidity, and fast execution. Our coin trade platform, is built for everyone. From beginners to experts, anyone can now buy, sell, trade, and hold cryptocurrencies in worldwide in an easy, fast, and effortless way."
498,Etor,"Etor Exchange is world’s first exchange with many segments in single platform like altcoin , margin trading , forex ,binary options, fiat currency exchange, gaming and many more .
You can utilise all these segments with your single wallet balance ,no need to create multiple wallets for different segments."
499,Exrates,"Exrates has rich digital assets portfolio, and besides, it supports a lot of fiat currencies. This exchange is operated by Exrates Ltd – a company registered in the Republic of Armenia. Launched in April, 2016, Exrates is not regulated, as is the case with most similar venues across the globe."
500,Nanu Exchange,"Nanu Exchange is a comparatively small Brazilian cryptocurrency exchange that focuses on trading in NanuCoin (NNC). It also works with fiat (BRL), but is not exactly an entry-level service, as coin-to-coin trading is also enabled."
501,Bitsane,"Bitsane is a crypto-exchange founded in 2016, that offers a simple way to trade in some of the most popular digital coins. Today, the Irish startup’s headquarters are located in Fitzwilliam Street in central Dublin where its founder and CEO, Aidas Rupsys is strategically planning the upcoming launch of full-scale investment platform."
502,QuadrigaCX,"The company is based in Vancouver, Canada, and offers pairs like ETH/CAD and BTC/CAD. QuadrigaCX stores funds in encrypted cold storage. Users can protect their accounts using two factor authentication."
503,DigiDinar,
504,BigONE,"BigONE is a coin-to-coin exchange where users can trade in Bitcoin, Ethereum, Litecoin, and other digital assets. The trading platform launched in November 2017. The CEO is Eric Meltzer. Majority of visitors to the BigONE site are from China, followed by Japan, the United States, Hong Kong and Vietnam."
505,Oodlebit,"Oodlebit is a U.S. based business founded in 2018 by Nicholas Dooley. It's aiming to provide users with a fast, fair, and secure cryptocurrency exchange by utilizing the best technologies, the most talented people, and by continuously pursuing the input of the community."
506,CoinDeal,"CoinDeal is a crypto exchange platform propelled in March 2018. The team behind the project consists of experienced crypto aficionados that have been dynamic in the blockchain and cryptocurrency industry for quite a long time. The main center is involved the Adam Bicz, Filip Dzierzak, and Kajetan Maćkowiak."
507,Udon Trade,"UdonTrade is regulated and licensed by United Kingdom.
It aims to provide the most secure and legal-compliance
cryptocurrency trading and digital derivatives
trading services to global investors."
508,Braziliex,
509,WBB Exchange,"WBB Exchange is a modern, safe Trading Platform for accessing cryptocurrency exchange markets with very simple interface and low trading fees. Our own API is easy-to-use, supplied with an instructional manual. Our Support Service communicates in Russian and English and replies to the Customers’ requests 7 days a week within working hours (UTC+3)."
510,BTCBOX,"BTCBOX is a Japanese cryptocurrency exchange, which is regulated by the Financial Services Agency (JFSA). "
511,UV2 Test,
512,Crypxie,"Crypxie is crypto assets trading platform primarily to be used for :
Payment of Trading Commissions
IEO Participation
Staking and Lending Program
Margin Trading and Options Trading
Coin Voting and Coin Listing
Cloud Mining Program
Competitions
and Many Other in the Future"
513,GlobeCryptoTrade,GlobeCryptoTrade Exchange
514,LEOxChange,"LEOxChange is designed for holders of cryptocurrency including, but not limited to, LEOcoin, to allow them to trade their cryptocurrencies in the open market. LEOxChange is the official exchange for trading LEOcoin.
Since the launch of LEOcoin on 22 June 2014, the LEOcoin community has grown to over 100,000 Members around the globe. Originally trading was conducted solely between LEO Members. Interest in the LEOcoin grew to such a level that it became clear that a public platform to trade LEOcoin was needed. The LEOxChange was born to meet this need."
515,FINEXBOX,"FinexBox is a cryptocurrency exchange based in Hong Kong. FinexBox and the mobile apps issued under FinexBox are wholly owned and operated by subsidiary company of HDR Global Trading Limited (no relationship with BITMEX), a Republic of Seychelles incorporated entity or its relevant authorized affiliates. "
516,Stellarterm,0
517,Cashierest,
518,BitBunch,"BitBunch
Connecting the global financial markets
with zero trade fees"
519,Wanswap,"WanSwap is an innovative crosschain automatic market making (AMM) decentralized exchange (DEX).

"
520,Enmanet,Enmanet is a centralized exchange from Mexico.
521,FameEX Derivatives,"FameEX has established itself as a global frontier for derivatives trading with cross-platform tools, providing a comprehensive range of spot and derivatives trading products. These offerings include spot trading, grid trading, margin trading, futures trading, and options trading for cryptocurrencies. Users can flexibly trade and store their cryptocurrencies via an efficient and stable matching trading system, while experiencing AI-recommended order placement, an online futures calculator, grid trading bots, and other trading assistance tools on the platform.
As of March 2023, FameEX has served 600,000 active users in Southeast, Australia, Canada, and other countries and regions. FameEX remains steadfast in its mission to deliver secure, reliable, user-friendly, expedient, impartial, and transparent trading services for its global clientele. The company’s core values emphasize minimizing trading risks, fostering fair and open competition, and upholding the tenets of the ‘Smart Trading for Easy Gains"
522,EliteX Exchange,"We are fresh cryptocurrency exchange from Estonia, created 2021.
Elitex will provide besides staking, trading games, swap and spot also platform for learning and guiding others to become great traders.

Enjoy hundreds of tokens and trading pairs. Buy cryptocurrency with debit/credit card, participate in games, ICO's and enjoy the high liquidity level, no matter how skilled trader you are today, It is made for everybody!"
523,COXI,"COXI is a new and regulated cryptocurrency exchange, which was created by experienced specialists and supporters from the cryptocurrency industry. COXI platform is innovative and unique due to the possession of three separate markets for cryptocurrencies, IEO and company-personal tokens. The exchange distinguish pairs to FIAT currencies (PLN,USD,EUR) and instant deposits. COXI also offers rare features in comparison to other cryptocurrency exchange platforms such as the public OTC market and payment gateway."
524,Bitpanda Pro,"Bitpanda Pro is an advanced trading platform and digital asset exchange for experienced traders, professionals and institutions where you can trade popular digital assets like Bitcoin, Ethereum and more."
525,Garts Exchange,
526,Kryptono,"Kryptono, is a Singapore-based exchange that opened for account registration in 2018. Kryptono aims to facilitate widespread use of blockchain technology by making it as simple as possible to grow real-world crypto on a global scale."
527,Coinbe,"Coinbe (formally Beatcoin) is a Polish exchange founded in 2017, that offered both fiat-to-crypto and crypto-to-crypto trading. Unfortunately, its fiat operations are temporarily suspended due to regulation issues."
528,Cryptology,"Cryptology, the startup based out of Singapore is looking to make cryptocurrency transactions easier, more affordable by creating a “next generation” cryptocurrency exchange, that would be one of the first new companies to combine and fiat transaction on a user platform. The site accepts bank deposits as it supports visa and MasterCard for fiat transactions. The site has a mobile application for users who would like to trade on the go."
529,BaseSwap,
530,Bitladon,"Bitladon is the international name for Bitcoin Meester, who was founded in May 2017. Bitcoin Meester has proven to be a stable concept in The Netherlands and Europe ever since.

We provide a unique platform. It is not only possible to buy and sell coins, you can even trade any to any! Our platform is easily accessible, fast and cheap. In addition to our platform, we are also active on social media. You can find us on Telegram, Twitter, Instagram and Facebook.
We provide coins from a euro/coin pair. Everybody in europe can pay directly with euro's on our platform. "
531,CoinCorner,"The company behind the CoinCorner site is CoinCorner Ltd, and it is based at 2nd Floor Office Suite, St. James’ Chambers, 64A Athol Street, Douglas, IM1 1JE, Isle of Man. CoinCorner is registered under the number 129003C and it is authorized by Isle of Man authorities to conduct business involving virtual currencies, founded in 2014. CoinCorner is a cryptocurrency exchange focused on European (initially primarily UK) operations. Only EUR and GBP are supported as fiat currencies. CoinCorner’s co-founders are Bitcoin celebrities Phil Collins and Daniel Scott."
532,EX24,
533,COSS,"COSS is a cryptocurrency exchange based in Singapore. COSS officially launched in April 2017, following an ICO. "
534,CryptoNick,
535,Fanáticos Criptos,"Our team is available to help you anytime you need help. Miscellaneous assets Increase your profits by trading multiple assets in our markets. Low rates Only 0.1% per trade or 0.1 FCH regardless of the volume traded. Corporate Acquisition Platform built from scratch, acquired by Fanáticos Criptos and in constant evolution. The right market! A variety of markets for you to find the best trading pair for the asset you want to invest in and lead you to financial independence."
536,BitForex,"BitForex is an cryptocurrency exchange, providing a variety of crypto-currency trading pairs against USDT.
The company is headquartered in Singapore, registered in the Republic of Seychelles, has independent operating teams in Germany, Estonia, Hong Kong, Malaysia, the Philippines, other countries and regions."
537,GetBTC,"GetBTC Financial Services Ltd. Is the company which operates this exchange. It is based in St. Vincent and the Grenadines. Bitcoin is the only cryptocurrency, supported by GetBTC."
538,Terrabit,"Terrabit is an all-inclusive web and mobile application supported by Terrabit, a highly secure and super-fast centralised cryptocurrency exchange, payment platform and Crypto mining. The App was designed to keep your funds safe at all times while allowing you access to it whenever you need it. Terrabit makes it effortless to send money, to pay for goods or to receive payments for services. It’s easy crypto management on the go!"
539,Tarmex,"Tarmex is a multi-functional platform for trading cryptocurrencies. We are providing an advanced order matching algorithm, a high-liquidity order book, and a rich variety of trading tools. Combining an intuitive interface and advanced trading possibilities, it will empower your trading and help you grow your portfolio."
540,Crypcore,Crypcore is a secure digital assets trading platform that offers the first anonymous privacy coin for trading digital assets.
541,KoinPro,"KoinPro is a derivative or futures trading platform which offers a unique futures contract on crypto, major stock indices and commodities at one place for the crypto users."
542,Upbit,"Upbit is a South Korean crypto exchange which released in October 2017. It was created by Korea’s biggest messaging app developer, Kakao, providing 111 altcoins when it was launched. Upbit offers more than 200 trading pairs, as it is in an active partnership with Bittrex. "
543,CoinTiger,CoinTiger is a centralized Singapore exchange. They created their own coin - Tiger Cash which is a blockchain digital asset based on Ethereum.
544,Newchange,"We are a brand new Centralised exchange. With low fees and a user-friendly design. The main features of our exchange are spot trading, staking pool, IEO (coming soon) and Airdrop. We are KYC certified and a registered crypto company in Hungary."
545,ANXPro,"ANXPRO is a Hong Kong-based online trading platform specializing in the exchange of fiat-to-crypto currencies. One of the major benefits of using ANXPRO is that this exchange works with fiat currency. Launched all the way back in 2013, ANXPRO (formerly ANXBTC) has around 6 years of experience. The company behind the brand, Mega Idea Holdings Limited, has a Money Services Operator license issued by the Hong Kong Customs and Excise Department."
546,Omicrex,"Omicrex (Omicron Crypto Markets) is cryptocurrency exchange that launched in the beginning of 2018. It is located in Greece. The exchange allows trading in cryptocurrencies for fiat currencies (EUR, GBP and USD) and cryptocurrencies for cryptocurrencies."
547,Exbito,"Exbito exchange is a cryptocurrency platform that was founded by a company from Iran. The team includes highly experienced experts and professional developers who are passionate about blockchain. The exchange supports the most popular cryptocurrencies such as Bitcoin, Ethereum, Litecoin, Bitcoin Cash, Tether, Chainlink, Tron and Cardano. As for the fiat money, the platform supports Iran Rial. Users can buy and sell digital assets using convenient functionality of the service."
548,CCRYPTOEX,"Founded on 2019 and based on Singapore, Ccryptoex is a cryptocurrency exchange site that provides a platform for quick and easy trading."
549,Ravendax,"We offer to traders, safety low trading fees and ability to interact with our utility coin ravengreen, we are a green exchange."
550,Sistemkoin,Sistemkoin is a Turkish cryptocurrency exchange which accepts bank transfers. 
551,Crypto.com Exchange,"Crypto.com exchange is powered by CRO, with deep liquidity, low fees and best execution prices, you can trade Bitcoin and Altcoins with the best experience.
<br> <br>

Exchange assets (transparency): 
<br>
$2 525 178 418 - according to nansen.ai, 
<br>
$2 465 507 748 - according to defillama.com
<br> <br>
Disclaimer - data is sourced from third-party and static at the current moment, we don't know about distribution of funds, it's relayed from exchanges, thus 3rd-party full independent audits is required for full picture"
552,Quickswap V3,
553,Binance DEX,"Binance DEX is a decentralized order matching engine,
powered by the core Binance Chain technology.

Binance DEX is a modern and secure marketplace for issuing
and exchanging digital assets, and no-one other than you holds your keys. Trading your favorite assets has never been safer."
554,Kyberswap (Ethereum),
555,Dasset,"Founded in 2017, New Zealand, Dasset is crypto asset exchange platform for Kiwis to trade bitcoin and over 50 other digital assets. Located in Auckland, New Zealand, our goal is to help create a world of universal financial access. Dasset is the place for Kiwis to buy, sell, and trade digital assets such as Bitcoin and Ethereum. Our trading platform is designed for retail customers, professional traders, and institutional customers."
556,BiHODL,"BiHODL Digital Asset Trading Platform has always been aiming at promoting the rapid development of the blockchain industry and is committed to aggregating high-quality digital assets in the world to provide a safe, stable and fair trading platform for the vast number of Cryptocurrency enthusiasts. The BiHODL team is spread all over the United States, Singapore and Japan. Its members are top Internet companies' technical experts and financial Systems architect. The platform relies on a strong development team and first-class technical strength to strive to create a perfect trading experience for users."
557,Giottus,Giottus is changing the way Indian users trade their digital assets by building a platform that is customer centric with a top-tier customer support on par with the world’s best International exchanges.
558,OpenDEX,"OpenDEX, the most advanced Open Source Digital Asset Exchange with Multi-Blockchain and peer to peer (P2P) trading support. OpenDEX not only provides support for Ethereum based tokens but has the capability to integrate other blockchains as well (i.e. EOS, TRON and many more)."
559,Catex,"Catex was founded in August 2018. Catex is the first truly community-managed exchange platform in the blockchain space. All major decisions are made by the community and voted. The Catex management team will only be responsible for platform operations, marketing and major perceptions. Landing and technical support, including the implementation of new features, APP development, Coin listing, Customer service etc."
560,C2CX,"C2CX is a Chinese cryptocurrency exchange launched in 2016 that is registered in Luxembourg.  It offers crypto-to-crypto spot trading in some of the most popular coins. Like more exchanges, C2CX utilizes Google two-factor authentication (2FA), but unverified users can also trade on the exchange. "
561,Zebpay,
562,Zeedex BSC,
563,BitGlobal,
564,Gemini,Gemini is based in New York. The company was founded in 2014. The company is fully regulated and fully compliant. They’re regulated by the New York State Department of Financial Services (NYSDFS). They also abide by capital reserve requirements and banking compliance standards.
565,SCAVO,"Our company is established in Argentina and we are focused on blockchain services based such us wallet, exchange, payment gateway and mining farms. Currently the exchange was launched as our first public service."
566,AOFEX,"AOFEX, based in London of the United Kingdom, is a global leading exchange of digital financial derivatives. We provide 24-hour services for 1.46 million users. As one of top 15 crypto exchanges around the world, we have more than 100,000 daily active users and 300+ trading pairs. The daily average trading volume is 15,000,000,000, and the daily average liquidity is 244. Until now, we have obtained MSB license and we have been listed on CMC. Users can find us on Google Play, iOS App Store and HUAWEI AppGallery Connect."
567,Escodex,Escodex is a cryptocurrency exchange from Estonia. Escodex is a decentralized exchange.
568,Cryptonex,
569,NinjaSwap,"NinjaSwap is a DEX that enables swapping, farming, and staking for BSC tokens. its AMM follows the tradition of Uniswap. But it gets its speed and affordable transaction fee from Binance Smart Chain. Besides that, unlike other swap platforms, a limited number of tokens are minted. The team has no interest in farming and staking, it provides all the income to the participants. It has a very novel token minting system called AMO (Automatic Minting Offering)."
570,SatoExchange,"SatoExchange is a centralized crypto currency exchange trading alt coins in BTC, ETH, $SATX, USD and DOGE pairs. Started operations from 19th May, 2018 Simple/easy-to-use interface low trade and withdrawal fees excellent security swift support system fastest order and withdrawal processing, which have over 150k members and are happy."
571,LCX Exchange,"LCX Exchange is a regulated, compliant and secure trading platform for a variety of digital assets.

LCX, the Liechtenstein Cryptoassets Exchange, was founded in 2018 with headquarters in Vaduz (Liechtenstein) and offices in Crypto-Valley Zug (Switzerland) and New Delhi (India). LCX has obtained 8 crypto-related registrations by the Financial Market Authority Liechtenstein, operates in accordance with the new blockchain laws and has introduced a comprehensive crypto compliance suite. LCX AG, the legal entity behind LCX.com, has a registered share capital of 1 Million CHF.

The LCX Token ($LCX) is the fuel of the LCX.com platform and LCX Cryptocurrency Exchange.
LCX Token works as a long-term sustainable incentive mechanism to motivate various stakeholders to participate in the ecosystem.
"
572,CoinOne Swap,"CoinOne is a sublime and exceptional platform with numerous functions such as: swap, lottery, prediction, Lending, financial news, wallet, NFT, game, perpetual contract, etc., the perfect choice for every investor."
573,Livecoin,"Livecoin is a cryptocurrency trading platform that lets you trade bitcoins, altcoins, and fiat currencies. The exchange was launched in 2013 by a company named Delta E-Commerce Ltd (London). Current owner of the exchange is: Red Velvet Investments Ltd (based in Belize)."
574,HOTDEX,"HotDex is the of top-tier crypto exchange. It is a fast, secure and easy to use the platform as your favorite exchange so that you don’t have to miss out on any trading opportunities. It provides access to established crypto-currencies while also allowing you to discover and trade up-and-coming tokens and altcoins in a variety of different trading pairs.

Hotdex is built on the BitShare platform. So the dex provides a high-performance decentralized exchange, with all the features you would expect in a trading platform. It can handle the trading volume of the NASDAQ, while settling orders the second you submit them."
575,Garlix,Garlix is an exchange made by members of the Garlicoin for the garlicoin community. We have multiple different cryptocurrencies listed and many ways to trade. We want to be a place for new and experienced traders to trade. We offer many different ways to trade such as Spot trading and Trading Bots.
576,XBTS,"XBTS is a Multi-chain decentralized exchange and DeFi operating at
BitShares blockchain since 2018. XBTS is a leading-edge Dex for trade,
DeFi, staking, exchange, holding cryptocurrencies, Cross-Chain
transactions, and an entry point to volumes of decentralized markets."
577,CoinEx,"Founded in December 2017 with its headquarters in Hong Kong, CoinEx offers low-cost coin-to-coin trading in wide range of cryptocurrencies. CoinEx supports the most popular digital assets, such as Bitcoin, Ethereum, Litecoin, Bitcoin Cash, and several other coins (Bytom, Bitcoin Candy)."
578,Sunswap V2,
579,CredoEx,0
580,Stronghold,0
581,CoinAmount,
582,Alteumx,"Alteumx aims to connect the world with Latin America and encourage financial inclusion, by providing the peer-to-peer exchange of digital assets in a simple, secure, fast and transparent way throughout the region."
583,Bidesk,"Bidesk exchange is a digital asset trading platform that has been built to provide a secure and safe environment for trading high quality tokens and coins whilst providing the best user experience to its users. With the advanced matching engine, all types of users; from beginners who're buying their first cryptocurrency, to the professional traders and hedge funds, are ensured of having the best trading experience. Bidesk also provide 24/7 customer support service which is always on hand to help, users are made certain of prompt response for any issue."
584,LakeBTC,"LakeBTC was founded in 2013, with Bitcoin being its main focus. Nowadays the company behind this exchange is known as Lake Banking Technology Company, which is also involved in other projects."
585,SHORTEX,Rapidly growing digital asset platform with an incorporated P2P payments solution.
586,CRYPTOINDEX,"cryptoindex is a crypto exchange service that focuses on trading that connects Indonesia to global trade and also brings global trade to the role of its users in Indonesia.

Cryptoindex is committed to providing fast, easy, safe and comfortable services as well as competitive transaction fees with customer service services that are always ready to provide information and morning trading solutions for its users.

Cryptoindex is a very easy and easy-to-use platform from beginners to professional levels"
587,BOA,"BOA, Bitcoin Or Altcoins. Not all tokens are created equally but most deserve a fair shake. BOA includes cryptographic proofs for absolute transparency of funds. Executing on a dream of absolute verification and transparency yet trust. We are a team of traders, technicians and crypto enthusiasts working tirelessly to improve industry standards. BOA is here to facilitate token listings, airdrops, trading competitions and more in the spirit of unity, trust and security for our members!"
588,CRXzone,"Based in Republic of Singapore and founded in February of 2014, Intellect Market Pte. Ltd. is a crypto currencies wallet platform where merchants and consumers can transact with the new digital currencies like Bitcoin, Litecoin, etc. Our mission is to provide a world class transparent, deeply liquid and safe environment for users to trade crypto-currencies, as well as to accept crypto-payments by online businesses in an efficient and easy to use manner."
589,Intercore,"Intercore has been in development since early 2020, we are working to create the exchange that will revolutionize the market, bringing the international quality standard to national reach.
Its creation was consolidated using vast market research with which we were able to detect the greatest market needs and gather all the solutions in one place."
590,Bitsten,Bitsten is an Indonesian cryptocurrency exchange launched in 2017.
